delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,delta3,transformedValue3,naturalValue3,loss
-0.5,-0.22833744,-0.22833744,-0.39656252,-0.10530892,-0.10530892,0.5,-0.0062900186,0.9937297,6.871263
-0.5,-0.22833744,-0.22833744,-0.39656252,-0.10530892,-0.10530892,0.75,0.24370998,1.2759743,8.175176
-0.5,-0.22833744,-0.22833744,-0.39656252,-0.10530892,-0.10530892,1.0,0.49370998,1.6383834,9.613234
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,-1.0,-1.50629,0.22173108,1.8354262
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,-0.75,-1.25629,0.28470835,2.2881942
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,-0.5,-1.00629,0.36557275,2.8871505
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,-0.25,-0.75629,0.4694047,3.6645243
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,0.0,-0.50629,0.60272753,4.621096
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,0.25,-0.25629002,0.7739175,5.688968
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,0.5,-0.0062900186,0.9937297,6.871263
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,0.75,0.24370998,1.2759743,8.175176
-0.5,-0.22833744,-0.22833744,-0.381875,-0.09062141,-0.09062141,1.0,0.49370998,1.6383834,9.613234
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,-1.0,-1.50629,0.22173108,1.8354262
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,-0.75,-1.25629,0.28470835,2.2881942
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,-0.5,-1.00629,0.36557275,2.8871505
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,-0.25,-0.75629,0.4694047,3.6645243
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,0.0,-0.50629,0.60272753,4.621096
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,0.25,-0.25629002,0.7739175,5.688968
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,0.5,-0.0062900186,0.9937297,6.871263
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,0.75,0.24370998,1.2759743,8.175176
-0.5,-0.22833744,-0.22833744,-0.3671875,-0.0759339,-0.0759339,1.0,0.49370998,1.6383834,9.613234
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,-1.0,-1.50629,0.22173108,1.8354262
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,-0.75,-1.25629,0.28470835,2.2881942
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,-0.5,-1.00629,0.36557275,2.8871505
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,-0.25,-0.75629,0.4694047,3.6645243
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,0.0,-0.50629,0.60272753,4.621096
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,0.25,-0.25629002,0.7739175,5.688968
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,0.5,-0.0062900186,0.9937297,6.871263
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,0.75,0.24370998,1.2759743,8.175176
-0.5,-0.22833744,-0.22833744,-0.3525,-0.061246395,-0.061246395,1.0,0.49370998,1.6383834,9.613234
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,-1.0,-1.50629,0.22173108,1.8354262
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,-0.75,-1.25629,0.28470835,2.2881942
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,-0.5,-1.00629,0.36557275,2.8871505
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,-0.25,-0.75629,0.4694047,3.6645243
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,0.0,-0.50629,0.60272753,4.621096
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,0.25,-0.25629002,0.7739175,5.688968
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,0.5,-0.0062900186,0.9937297,6.871263
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,0.75,0.24370998,1.2759743,8.175176
-0.5,-0.22833744,-0.22833744,-0.33781248,-0.046558887,-0.046558887,1.0,0.49370998,1.6383834,9.613234
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,-1.0,-1.50629,0.22173108,1.8354262
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,-0.75,-1.25629,0.28470835,2.2881942
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,-0.5,-1.00629,0.36557275,2.8871505
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,-0.25,-0.75629,0.4694047,3.6645243
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,0.0,-0.50629,0.60272753,4.621096
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,0.25,-0.25629002,0.7739175,5.688968
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,0.5,-0.0062900186,0.9937297,6.871263
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,0.75,0.24370998,1.2759743,8.175176
-0.5,-0.22833744,-0.22833744,-0.323125,-0.03187141,-0.03187141,1.0,0.49370998,1.6383834,9.613234
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,-1.0,-1.50629,0.22173108,1.8354262
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,-0.75,-1.25629,0.28470835,2.2881942
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,-0.5,-1.00629,0.36557275,2.8871505
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,-0.25,-0.75629,0.4694047,3.6645243
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,0.0,-0.50629,0.60272753,4.621096
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,0.25,-0.25629002,0.7739175,5.688968
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,0.5,-0.0062900186,0.9937297,6.871263
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,0.75,0.24370998,1.2759743,8.175176
-0.5,-0.22833744,-0.22833744,-0.3084375,-0.0171839,-0.0171839,1.0,0.49370998,1.6383834,9.613234
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,-1.0,-1.50629,0.22173108,1.8354262
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,-0.75,-1.25629,0.28470835,2.2881942
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,-0.5,-1.00629,0.36557275,2.8871505
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,-0.25,-0.75629,0.4694047,3.6645243
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,0.0,-0.50629,0.60272753,4.621096
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,0.25,-0.25629002,0.7739175,5.688968
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,0.5,-0.0062900186,0.9937297,6.871263
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,0.75,0.24370998,1.2759743,8.175176
-0.5,-0.22833744,-0.22833744,-0.29375,-0.0024963915,-0.0024963915,1.0,0.49370998,1.6383834,9.613234
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,-1.0,-1.50629,0.22173108,1.8294011
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,-0.75,-1.25629,0.28470835,2.2798595
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,-0.5,-1.00629,0.36557275,2.876053
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,-0.25,-0.75629,0.4694047,3.650014
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,0.0,-0.50629,0.60272753,4.602506
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,0.25,-0.25629002,0.7739175,5.666114
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,0.5,-0.0062900186,0.9937297,6.8432493
-0.5,-0.22833744,-0.22833744,-0.2790625,0.012191087,0.012191087,0.75,0.24370998,1.2759743,8.141393
